Trial,num_turns,num_R,num_L,LLLL,LLLR,LLRL,LLRR,LRLL,LRLR,LRRL,LRRR,RLLL,RLLR,RLRL,RLRR,RRLL,RRLR,RRRL,RRRR,alternations,repetitions,Animal_Number,Group,anxiety_group
1,86,49,37,0,0,0,1.85,0,18.52,7.41,7.41,0,5.56,22.22,9.26,5.56,9.26,9.26,3.7,40.74,3.7,1,CTRL,High Anxiety
2,75,36,39,0,1.67,5,3.33,5,25,8.33,1.67,1.67,8.33,21.67,6.67,6.67,3.33,1.67,0,46.67,0,1,CTRL,High Anxiety
3,130,72,58,0.81,2.44,4.07,2.44,4.88,20.33,8.13,2.44,2.44,4.07,21.14,8.94,1.63,10.57,2.44,3.25,41.46,4.07,1,CTRL,High Anxiety
4,53,29,24,0,0,4,0,4,30,4,4,0,4,30,8,0,8,4,0,60,0,1,CTRL,High Anxiety
5,88,49,39,0,0,0,0,0,35.14,8.11,1.35,0,1.35,33.78,9.46,0,9.46,1.35,0,68.92,0,1,CTRL,High Anxiety
6,96,54,42,1.18,1.18,1.18,1.18,1.18,27.06,10.59,2.35,1.18,1.18,24.71,12.94,1.18,10.59,2.35,0,51.76,1.18,1,CTRL,High Anxiety
1,82,41,41,2.27,2.27,2.27,9.09,2.27,13.64,6.82,4.55,2.27,9.09,22.73,2.27,4.55,6.82,4.55,4.55,36.36,6.82,2,CTRL,High Anxiety
2,50,29,21,0,0,0,7.69,3.85,11.54,15.38,0,0,7.69,23.08,7.69,3.85,11.54,3.85,3.85,34.62,3.85,2,CTRL,High Anxiety
3,42,20,22,0,0,10,10,0,10,0,10,0,10,10,0,10,0,10,20,20,20,2,CTRL,High Anxiety
4,70,37,33,3.85,3.85,7.69,0,0,23.08,3.85,3.85,0,3.85,23.08,7.69,3.85,7.69,3.85,3.85,46.15,7.69,2,CTRL,High Anxiety
5,82,40,42,0,2.38,11.9,0,9.52,21.43,4.76,0,2.38,11.9,21.43,4.76,0,7.14,2.38,0,42.86,0,2,CTRL,High Anxiety
6,72,40,32,0,0,3.12,0,3.12,15.62,6.25,9.38,0,6.25,15.62,12.5,3.12,12.5,12.5,0,31.25,0,2,CTRL,High Anxiety
1,71,40,31,3.33,1.67,3.33,5,3.33,11.67,8.33,6.67,1.67,6.67,11.67,11.67,5,8.33,6.67,5,23.33,8.33,3,CTRL,High Anxiety
2,45,21,24,2.7,5.41,10.81,2.7,8.11,10.81,13.51,0,5.41,10.81,5.41,10.81,5.41,8.11,0,0,16.22,2.7,3,CTRL,High Anxiety
3,46,24,22,0,4.17,8.33,0,8.33,12.5,0,12.5,4.17,0,4.17,12.5,0,8.33,12.5,12.5,16.67,12.5,3,CTRL,High Anxiety
4,57,34,23,0,0,0,8,4,8,16,8,0,4,8,20,0,16,4,4,16,4,3,CTRL,High Anxiety
5,51,25,26,0,3.57,0,14.29,3.57,10.71,14.29,3.57,0,7.14,17.86,3.57,3.57,14.29,3.57,0,28.57,0,3,CTRL,High Anxiety
6,52,24,28,0,8.33,8.33,8.33,8.33,8.33,16.67,0,8.33,0,8.33,16.67,0,8.33,0,0,16.67,0,3,CTRL,High Anxiety
1,108,54,54,1.37,1.37,8.22,2.74,6.85,16.44,8.22,2.74,1.37,8.22,17.81,8.22,2.74,8.22,2.74,2.74,34.25,4.11,4,CTRL,Low Anxiety
2,55,26,29,0,0,2.86,0,2.86,40,5.71,0,0,5.71,37.14,2.86,2.86,0,0,0,77.14,0,4,CTRL,Low Anxiety
3,112,53,59,1.27,1.27,6.33,1.27,2.53,29.11,8.86,0,0,7.59,26.58,6.33,5.06,3.8,0,0,55.7,1.27,4,CTRL,Low Anxiety
4,133,63,70,8.77,1.75,3.51,7.02,3.51,14.04,8.77,3.51,1.75,5.26,12.28,5.26,10.53,7.02,5.26,1.75,26.32,10.53,4,CTRL,Low Anxiety
5,128,56,72,9.84,4.92,4.92,8.2,8.2,4.92,13.11,1.64,6.56,4.92,6.56,3.28,6.56,8.2,4.92,3.28,11.48,13.11,4,CTRL,Low Anxiety
6,104,36,68,17.5,2.5,5,2.5,10,20,0,2.5,10,5,20,0,0,2.5,2.5,0,40,17.5,4,CTRL,Low Anxiety
1,88,36,52,10.87,6.52,8.7,6.52,13.04,8.7,2.17,4.35,8.7,8.7,13.04,2.17,2.17,2.17,2.17,0,21.74,10.87,5,CTRL,High Anxiety
2,39,21,18,6.45,6.45,6.45,6.45,6.45,6.45,3.23,9.68,6.45,6.45,6.45,3.23,3.23,9.68,9.68,3.23,12.9,9.68,5,CTRL,High Anxiety
3,20,10,10,0,9.09,0,27.27,9.09,0,9.09,9.09,9.09,18.18,0,0,9.09,0,0,0,0,0,5,CTRL,High Anxiety
4,50,25,25,7.89,5.26,10.53,5.26,7.89,7.89,10.53,2.63,5.26,7.89,5.26,7.89,7.89,5.26,0,2.63,13.16,10.53,5,CTRL,High Anxiety
5,50,22,28,9.09,9.09,3.03,9.09,9.09,0,9.09,6.06,6.06,3.03,6.06,6.06,6.06,9.09,6.06,3.03,6.06,12.12,5,CTRL,High Anxiety
6,69,32,37,7.14,14.29,2.38,9.52,0,2.38,11.9,7.14,11.9,0,4.76,7.14,7.14,9.52,4.76,0,7.14,7.14,5,CTRL,High Anxiety
1,108,59,49,0,2.17,5.43,3.26,4.35,20.65,4.35,4.35,2.17,6.52,19.57,6.52,4.35,4.35,4.35,7.61,40.22,7.61,6,CTRL,Low Anxiety
2,82,40,42,1.37,1.37,8.22,1.37,6.85,24.66,8.22,0,1.37,8.22,23.29,6.85,2.74,5.48,0,0,47.95,1.37,6,CTRL,Low Anxiety
3,140,65,75,5.22,6.09,6.96,3.48,8.7,13.91,6.09,3.48,6.96,6.09,14.78,3.48,4.35,5.22,3.48,1.74,28.7,6.96,6,CTRL,Low Anxiety
4,129,61,68,3.96,3.96,5.94,5.94,4.95,14.85,9.9,1.98,2.97,8.91,14.85,5.94,6.93,4.95,1.98,1.98,29.7,5.94,6,CTRL,Low Anxiety
5,137,82,55,0,0.92,4.59,2.75,1.83,13.76,5.5,9.17,0,6.42,12.84,12.84,4.59,9.17,8.26,7.34,26.61,7.34,6,CTRL,Low Anxiety
6,142,81,61,0,3.51,5.26,3.51,6.14,9.65,9.65,6.14,3.51,5.26,9.65,12.28,2.63,13.16,6.14,3.51,19.3,3.51,6,CTRL,Low Anxiety
1,71,31,40,3.12,6.25,7.81,7.81,9.38,9.38,7.81,3.12,6.25,10.94,10.94,3.12,6.25,4.69,3.12,0,20.31,3.12,7,CTRL,High Anxiety
2,54,21,33,9.76,7.32,12.2,4.88,9.76,12.2,2.44,2.44,7.32,7.32,14.63,0,4.88,2.44,2.44,0,26.83,9.76,7,CTRL,High Anxiety
3,49,21,28,6.98,9.3,4.65,6.98,4.65,16.28,2.33,6.98,9.3,2.33,13.95,2.33,6.98,0,4.65,2.33,30.23,9.3,7,CTRL,High Anxiety
4,45,20,25,0,7.69,11.54,7.69,15.38,3.85,7.69,3.85,7.69,11.54,3.85,3.85,3.85,7.69,3.85,0,7.69,0,7,CTRL,High Anxiety
5,27,13,14,0,0,10,10,0,10,20,0,0,20,10,10,10,0,0,0,20,0,7,CTRL,High Anxiety
6,47,18,29,6.9,3.45,6.9,3.45,3.45,24.14,6.9,0,3.45,10.34,20.69,3.45,6.9,0,0,0,44.83,6.9,7,CTRL,High Anxiety
1,118,56,62,4.3,5.38,7.53,2.15,4.3,19.35,4.3,4.3,5.38,3.23,19.35,6.45,3.23,5.38,4.3,1.08,38.71,5.38,8,CTRL,High Anxiety
2,48,26,22,0,0,0,6.67,0,33.33,0,6.67,0,0,46.67,6.67,0,0,0,0,80,0,8,CTRL,High Anxiety
3,70,37,33,0,0,8.33,0,4.17,35.42,0,2.08,0,8.33,31.25,2.08,2.08,0,2.08,4.17,66.67,4.17,8,CTRL,High Anxiety
4,84,45,39,0,0,1.49,4.48,2.99,32.84,5.97,1.49,0,5.97,34.33,2.99,2.99,2.99,1.49,0,67.16,0,8,CTRL,High Anxiety
5,97,44,53,8.7,2.9,10.14,2.9,10.14,14.49,2.9,2.9,4.35,11.59,15.94,1.45,2.9,1.45,1.45,5.8,30.43,14.49,8,CTRL,High Anxiety
6,106,53,53,5.88,5.88,2.94,2.94,2.94,20.59,5.88,2.94,2.94,5.88,17.65,5.88,5.88,2.94,5.88,2.94,38.24,8.82,8,CTRL,High Anxiety
1,82,47,35,0,0,4.48,7.46,7.46,7.46,7.46,7.46,0,10.45,11.94,5.97,2.99,11.94,7.46,7.46,19.4,7.46,9,CTRL,Low Anxiety
2,82,40,42,6.35,3.17,6.35,3.17,4.76,20.63,3.17,3.17,1.59,4.76,22.22,4.76,3.17,4.76,4.76,3.17,42.86,9.52,9,CTRL,Low Anxiety
3,65,31,34,7.69,3.85,0,19.23,0,0,19.23,7.69,3.85,7.69,3.85,7.69,7.69,11.54,0,0,3.85,7.69,9,CTRL,Low Anxiety
4,34,11,23,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,9,CTRL,Low Anxiety
5,45,21,24,0,0,20,0,0,20,20,0,0,10,0,20,10,0,0,0,20,0,9,CTRL,Low Anxiety
6,31,17,14,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,9,CTRL,Low Anxiety
1,123,59,64,0,1.67,6.67,0.83,5.83,36.67,0.83,0,1.67,5.83,35.83,0,1.67,0,0.83,1.67,72.5,1.67,10,CTRL,High Anxiety
2,129,62,67,0,0,3.39,0.85,0.85,41.53,3.39,0,0.85,4.24,38.98,2.54,3.39,0,0,0,80.51,0,10,CTRL,High Anxiety
3,152,74,78,0,0,2.01,0.67,2.01,45.64,0.67,0,0,2.68,45.64,0,0.67,0,0,0,91.28,0,10,CTRL,High Anxiety
4,155,77,78,0,0,0.66,0.66,1.32,46.05,1.32,0,0,1.32,46.71,0.66,0,1.32,0,0,92.76,0,10,CTRL,High Anxiety
5,162,81,81,0,0,0,0.63,0.63,47.8,0.63,0,0,0.63,49.06,0,0,0.63,0,0,96.86,0,10,CTRL,High Anxiety
6,226,113,113,0,0,0.47,0,0.47,49.06,0.47,0,0,0.47,48.11,0.47,0,0.47,0,0,97.17,0,10,CTRL,High Anxiety
1,51,24,27,0,3.33,13.33,3.33,6.67,20,3.33,3.33,3.33,10,20,3.33,0,3.33,3.33,3.33,40,3.33,11,CAS,Low Anxiety
2,90,52,38,0,1.27,5.06,6.33,6.33,8.86,10.13,7.59,1.27,10.13,8.86,11.39,5.06,8.86,6.33,2.53,17.72,2.53,11,CAS,Low Anxiety
3,110,59,51,1.01,2.02,5.05,7.07,4.04,10.1,13.13,3.03,1.01,11.11,9.09,10.1,8.08,8.08,3.03,4.04,19.19,5.05,11,CAS,Low Anxiety
4,149,86,63,2.34,3.12,3.12,7.03,3.91,5.47,8.59,10.16,2.34,7.03,7.03,9.38,5.47,10.94,8.59,5.47,12.5,7.81,11,CAS,Low Anxiety
5,135,79,56,0.88,3.54,4.42,7.96,6.19,5.31,7.96,6.19,3.54,7.08,7.08,5.31,4.42,7.96,6.19,15.93,12.39,16.81,11,CAS,Low Anxiety
6,126,77,49,0,1.41,2.82,2.82,1.41,7.04,4.23,11.27,1.41,2.82,5.63,12.68,4.23,12.68,14.08,15.49,12.68,15.49,11,CAS,Low Anxiety
1,84,39,45,1.64,3.28,11.48,0,9.84,22.95,3.28,1.64,3.28,9.84,26.23,3.28,1.64,1.64,0,0,49.18,1.64,12,CAS,High Anxiety
2,90,48,42,0,0,3.39,3.39,3.39,25.42,8.47,3.39,0,6.78,23.73,6.78,6.78,5.08,3.39,0,49.15,0,12,CAS,High Anxiety
3,83,46,37,0,0,2.9,0,4.35,23.19,7.25,4.35,1.45,2.9,23.19,11.59,0,8.7,4.35,5.8,46.38,5.8,12,CAS,High Anxiety
4,86,49,37,0,2.5,0,10,7.5,7.5,10,10,0,2.5,12.5,10,0,15,7.5,5,20,5,12,CAS,High Anxiety
5,96,53,43,0,0,6.25,9.38,3.12,9.38,15.62,3.12,0,12.5,3.12,12.5,9.38,12.5,3.12,0,12.5,0,12,CAS,High Anxiety
6,77,39,38,0,9.09,6.06,3.03,6.06,9.09,9.09,3.03,6.06,6.06,9.09,6.06,12.12,3.03,3.03,9.09,18.18,9.09,12,CAS,High Anxiety
1,81,39,42,3.77,1.89,7.55,0,5.66,26.42,3.77,3.77,1.89,5.66,20.75,7.55,0,3.77,3.77,3.77,47.17,7.55,13,CAS,High Anxiety
2,58,32,26,0,0,0,5.56,5.56,16.67,11.11,5.56,0,5.56,27.78,5.56,0,11.11,5.56,0,44.44,0,13,CAS,High Anxiety
3,65,21,44,2.22,11.11,17.78,2.22,17.78,8.89,2.22,2.22,13.33,6.67,6.67,2.22,4.44,0,2.22,0,15.56,2.22,13,CAS,High Anxiety
4,111,46,65,15.74,8.33,6.48,4.63,6.48,8.33,5.56,3.7,7.41,2.78,8.33,4.63,3.7,5.56,3.7,4.63,16.67,20.37,13,CAS,High Anxiety
5,84,49,35,1.37,5.48,4.11,2.74,5.48,8.22,6.85,6.85,5.48,1.37,9.59,10.96,2.74,13.7,8.22,6.85,17.81,8.22,13,CAS,High Anxiety
6,78,49,29,1.52,3.03,4.55,1.52,3.03,9.09,9.09,4.55,3.03,3.03,7.58,13.64,4.55,13.64,6.06,12.12,16.67,13.64,13,CAS,High Anxiety
1,134,72,62,0,5.04,7.56,2.52,5.88,15.13,5.88,5.04,5.04,4.2,14.29,8.4,2.52,10.08,5.88,2.52,29.41,2.52,14,CAS,High Anxiety
2,96,51,45,1.45,2.9,2.9,4.35,2.9,15.94,14.49,1.45,2.9,4.35,18.84,11.59,4.35,10.14,1.45,0,34.78,1.45,14,CAS,High Anxiety
3,91,46,45,2.04,6.12,8.16,6.12,8.16,10.2,6.12,4.08,4.08,10.2,12.24,4.08,6.12,4.08,6.12,2.04,22.45,4.08,14,CAS,High Anxiety
4,81,38,43,0,6.45,6.45,3.23,9.68,19.35,9.68,0,6.45,6.45,16.13,3.23,3.23,9.68,0,0,35.48,0,14,CAS,High Anxiety
5,48,19,29,0,42.86,28.57,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,28.57,0,14,CAS,High Anxiety
6,42,17,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,14,CAS,High Anxiety
1,72,53,19,1.64,3.28,1.64,1.64,3.28,8.2,0,6.56,3.28,0,9.84,8.2,0,9.84,8.2,34.43,18.03,36.07,15,CAS,Low Anxiety
2,87,47,40,6.58,3.95,5.26,2.63,2.63,11.84,7.89,6.58,3.95,3.95,9.21,11.84,5.26,7.89,6.58,3.95,21.05,10.53,15,CAS,Low Anxiety
3,61,32,29,0,2,6,8,8,10,14,2,2,14,10,8,6,8,2,0,20,0,15,CAS,Low Anxiety
4,46,26,20,0,3.23,6.45,3.23,6.45,3.23,12.9,9.68,3.23,6.45,3.23,12.9,3.23,9.68,9.68,6.45,6.45,6.45,15,CAS,Low Anxiety
5,47,23,24,9.38,6.25,3.12,6.25,3.12,12.5,9.38,3.12,6.25,3.12,15.62,9.38,3.12,6.25,3.12,0,28.12,9.38,15,CAS,Low Anxiety
6,94,46,48,6.45,3.23,4.84,3.23,6.45,12.9,6.45,6.45,3.23,4.84,16.13,8.06,3.23,8.06,4.84,1.61,29.03,8.06,15,CAS,Low Anxiety
1,97,51,46,0,1.16,3.49,3.49,3.49,23.26,9.3,2.33,1.16,5.81,24.42,6.98,3.49,8.14,2.33,1.16,47.67,1.16,16,CAS,Low Anxiety
2,86,42,44,1.39,2.78,4.17,2.78,5.56,22.22,4.17,4.17,2.78,4.17,25,5.56,1.39,6.94,4.17,2.78,47.22,4.17,16,CAS,Low Anxiety
3,79,40,39,5.71,5.71,5.71,8.57,5.71,14.29,5.71,8.57,2.86,8.57,17.14,2.86,5.71,2.86,0,0,31.43,5.71,16,CAS,Low Anxiety
4,80,39,41,14.89,4.26,6.38,2.13,6.38,4.26,2.13,6.38,8.51,4.26,4.26,4.26,6.38,4.26,12.77,8.51,8.51,23.4,16,CAS,Low Anxiety
5,80,35,45,3.45,10.34,6.9,3.45,3.45,13.79,6.9,3.45,6.9,0,17.24,6.9,3.45,6.9,3.45,3.45,31.03,6.9,16,CAS,Low Anxiety
6,66,36,30,0,0,0,6.25,0,6.25,18.75,0,6.25,0,18.75,18.75,0,18.75,6.25,0,25,0,16,CAS,Low Anxiety
1,166,82,84,3.68,7.36,6.75,4.29,7.36,11.66,4.29,5.52,7.36,3.07,12.27,5.52,3.07,6.75,5.52,5.52,23.93,9.2,17,CTRL,Low Anxiety
2,142,76,66,2.96,2.22,2.22,1.48,2.96,21.48,11.85,1.48,2.22,1.48,22.96,11.11,0.74,12.59,1.48,0.74,44.44,3.7,17,CTRL,Low Anxiety
3,104,60,44,0,0,3.95,1.32,1.32,26.32,9.21,3.95,0,5.26,18.42,11.84,2.63,10.53,3.95,1.32,44.74,1.32,17,CTRL,Low Anxiety
4,124,74,50,0,1.83,1.83,1.83,2.75,22.02,7.34,3.67,1.83,1.83,22.94,10.09,0.92,12.84,4.59,3.67,44.95,3.67,17,CTRL,Low Anxiety
5,122,76,46,0,0.93,1.87,1.87,2.8,14.95,5.61,10.28,0.93,3.74,15.89,12.15,1.87,13.08,9.35,4.67,30.84,4.67,17,CTRL,Low Anxiety
6,124,69,55,0,0.91,0.91,3.64,3.64,22.73,10,2.73,0.91,2.73,26.36,9.09,0,13.64,2.73,0,49.09,0,17,CTRL,Low Anxiety
1,102,43,59,5.8,7.25,7.25,10.14,4.35,4.35,11.59,4.35,10.14,7.25,1.45,5.8,13.04,1.45,4.35,1.45,5.8,7.25,18,CTRL,High Anxiety
2,89,37,52,17.02,6.38,8.51,4.26,8.51,8.51,6.38,2.13,4.26,6.38,10.64,2.13,4.26,2.13,4.26,4.26,19.15,21.28,18,CTRL,High Anxiety
3,109,51,58,5.88,9.8,5.88,5.88,7.84,1.96,3.92,7.84,9.8,3.92,1.96,5.88,5.88,5.88,9.8,7.84,3.92,13.73,18,CTRL,High Anxiety
4,79,31,48,17.5,10,15,2.5,10,7.5,2.5,2.5,5,7.5,5,5,5,2.5,2.5,0,12.5,17.5,18,CTRL,High Anxiety
5,55,24,31,25,0,0,25,0,0,0,0,0,0,0,25,0,25,0,0,0,25,18,CTRL,High Anxiety
6,62,28,34,0,0,16.67,0,0,16.67,0,0,0,33.33,0,16.67,16.67,0,0,0,16.67,0,18,CTRL,High Anxiety
1,97,48,49,1.2,3.61,7.23,3.61,7.23,21.69,7.23,1.2,3.61,7.23,20.48,6.02,4.82,3.61,1.2,0,42.17,1.2,19,CAS,Low Anxiety
2,80,40,40,0,2.82,2.82,4.23,7.04,21.13,7.04,2.82,2.82,4.23,26.76,5.63,0,9.86,2.82,0,47.89,0,19,CAS,Low Anxiety
3,68,33,35,1.89,3.77,11.32,0,13.21,16.98,1.89,3.77,5.66,9.43,15.09,5.66,1.89,3.77,3.77,1.89,32.08,3.77,19,CAS,Low Anxiety
4,100,49,51,4.65,4.65,4.65,2.33,5.81,18.6,8.14,3.49,3.49,3.49,19.77,8.14,1.16,9.3,2.33,0,38.37,4.65,19,CAS,Low Anxiety
5,106,55,51,2.53,6.33,7.59,5.06,2.53,13.92,6.33,6.33,5.06,6.33,7.59,7.59,8.86,5.06,5.06,3.8,21.52,6.33,19,CAS,Low Anxiety
6,93,55,38,7.69,3.85,5.13,5.13,1.28,3.85,1.28,11.54,5.13,5.13,0,7.69,8.97,6.41,12.82,14.1,3.85,21.79,19,CAS,Low Anxiety
1,126,48,78,8.41,12.15,10.28,5.61,10.28,8.41,4.67,2.8,11.21,3.74,8.41,1.87,5.61,2.8,2.8,0.93,16.82,9.35,20,CAS,High Anxiety
2,141,57,84,11.54,10,10,3.85,8.46,5.38,5.38,4.62,10,4.62,4.62,4.62,6.15,3.85,4.62,2.31,10,13.85,20,CAS,High Anxiety
3,132,53,79,17,6,7,3,9,10,3,5,7,4,11,5,1,6,5,1,21,18,20,CAS,High Anxiety
4,126,56,70,6.19,5.31,10.62,5.31,11.5,9.73,4.42,3.54,5.31,10.62,9.73,3.54,4.42,3.54,3.54,2.65,19.47,8.85,20,CAS,High Anxiety
5,138,59,79,4.35,5.22,13.91,0.87,11.3,13.91,0.87,4.35,6.09,7.83,12.17,4.35,3.48,2.61,5.22,3.48,26.09,7.83,20,CAS,High Anxiety
6,134,61,73,12.62,4.85,6.8,3.88,5.83,12.62,6.8,2.91,4.85,5.83,8.74,6.8,4.85,6.8,3.88,1.94,21.36,14.56,20,CAS,High Anxiety
1,104,48,56,2.63,5.26,9.21,2.63,7.89,21.05,3.95,1.32,3.95,7.89,19.74,2.63,3.95,5.26,2.63,0,40.79,2.63,21,CAS,Low Anxiety
2,123,57,66,8.7,7.61,6.52,5.43,8.7,8.7,4.35,4.35,7.61,6.52,8.7,4.35,4.35,4.35,4.35,5.43,17.39,14.13,21,CAS,Low Anxiety
3,88,43,45,4.35,2.9,8.7,5.8,5.8,14.49,5.8,2.9,4.35,11.59,11.59,4.35,8.7,4.35,4.35,0,26.09,4.35,21,CAS,Low Anxiety
4,101,47,54,4.3,4.3,5.38,4.3,6.45,21.51,4.3,2.15,4.3,5.38,22.58,3.23,3.23,3.23,2.15,3.23,44.09,7.53,21,CAS,Low Anxiety
5,96,53,43,0,4.41,5.88,4.41,4.41,14.71,2.94,8.82,2.94,4.41,16.18,8.82,2.94,7.35,7.35,4.41,30.88,4.41,21,CAS,Low Anxiety
6,124,68,56,1.35,5.41,5.41,6.76,5.41,12.16,5.41,6.76,6.76,5.41,10.81,5.41,5.41,5.41,6.76,5.41,22.97,6.76,21,CAS,Low Anxiety
1,73,35,38,2,4,10,0,4,24,8,0,2,6,24,8,4,4,0,0,48,2,22,CAS,High Anxiety
2,77,45,32,1.82,3.64,3.64,1.82,1.82,21.82,1.82,7.27,3.64,3.64,18.18,5.45,3.64,3.64,5.45,12.73,40,14.55,22,CAS,High Anxiety
3,83,40,43,0,0,7.25,1.45,8.7,21.74,7.25,1.45,1.45,8.7,24.64,7.25,0,8.7,1.45,0,46.38,0,22,CAS,High Anxiety
4,75,38,37,0,3.57,0,7.14,3.57,26.79,10.71,1.79,1.79,3.57,26.79,3.57,1.79,7.14,1.79,0,53.57,0,22,CAS,High Anxiety
5,70,37,33,0,3.17,0,3.17,1.59,30.16,3.17,3.17,3.17,0,34.92,3.17,1.59,6.35,4.76,1.59,65.08,1.59,22,CAS,High Anxiety
6,113,59,54,2.6,2.6,5.19,5.19,3.9,16.88,9.09,2.6,2.6,7.79,14.29,6.49,5.19,9.09,3.9,2.6,31.17,5.19,22,CAS,High Anxiety
1,79,41,38,1.56,3.12,9.38,10.94,6.25,3.12,15.62,1.56,3.12,15.62,1.56,7.81,12.5,6.25,1.56,0,4.69,1.56,23,CAS,High Anxiety
2,65,33,32,1.85,7.41,9.26,3.7,9.26,7.41,7.41,3.7,7.41,7.41,7.41,5.56,5.56,3.7,1.85,11.11,14.81,12.96,23,CAS,High Anxiety
3,85,47,38,0,1.56,6.25,4.69,7.81,14.06,4.69,6.25,1.56,9.38,14.06,7.81,3.12,6.25,7.81,4.69,28.12,4.69,23,CAS,High Anxiety
4,32,18,14,0,5.88,0,5.88,5.88,23.53,11.76,0,5.88,0,23.53,5.88,5.88,5.88,0,0,47.06,0,23,CAS,High Anxiety
5,48,28,20,0,2.56,0,5.13,2.56,12.82,7.69,7.69,2.56,2.56,12.82,12.82,5.13,12.82,7.69,5.13,25.64,5.13,23,CAS,High Anxiety
6,52,26,26,4.55,2.27,4.55,4.55,2.27,11.36,9.09,6.82,2.27,4.55,9.09,13.64,4.55,11.36,6.82,2.27,20.45,6.82,23,CAS,High Anxiety
1,124,62,62,5.61,4.67,5.61,1.87,4.67,13.08,8.41,3.74,4.67,3.74,12.15,11.21,3.74,9.35,4.67,2.8,25.23,8.41,24,CAS,Low Anxiety
2,140,82,58,1.85,1.85,3.7,1.85,1.85,16.67,2.78,10.19,1.85,4.63,15.74,10.19,4.63,8.33,9.26,4.63,32.41,6.48,24,CAS,Low Anxiety
